they're just closer to home .	他們只是靠近家 。
this time , the pieces fit .	這次 , 畫面 。
every building has a fountain .	每棟建築都有一座山 。
and there really were no good solutions .	沒有好的解決方案 。
every individual has a role to play .	每個人都有角色扮演 。
what are we going to do about it ?	我們要怎麼辦 ?
i get where you're coming from .	我從哪裡來到這裡 。
and of course it will bring great things .	當然 , 它會帶來偉大的事 。
and they want the washing machine .	他們想要洗衣機
i was hit hard on my head .	我在我的頭上跑了 。
and i want to tell you that story .	我想告訴各位一個故事 。
" what is wrong with me ? ! "	「 對我來說是什麼 ? 」
an undergraduate can do it .	畢業生可以做到 。
and finally , you get a good eye .	最後 , 你得到了一個好的眼睛 。
they were able to create something wonderful .	他們能夠創造出美妙的東西 。
let me read you the entry .	讓我讀你
my mentor is cinatl .	我的指導是cinatl 。
there's musical labels .	有音樂標籤 。
so this is where i come in .	這就是我來到的地方 。
this is what it's about .	這是關於的 。
here's how it works .	它是如何運作的 。
sb: haha !	sb:哈哈 !
what kind of world do we want ?	我們想要什麼呢 ?
it's a massive problem .	這是一個巨大的問題 。
" it depends . "	「 依賴 。 」
she doesn't want to fight .	她不想抗爭 。
i'm just kidding .	我只是開玩笑 。
and that gives this interesting idea .	這給了這個有趣的概念 。
you're going it right now .	你現在就在這裡了 。
now that can be daunting .	現在 , 可能是這樣的 。
and this is from delhi .	這是來自德里的 。
and this is in 1993 .	這是1993年 。
video games are not the cause .	電玩遊戲不是原因 。
something always seems to stop us .	總是似乎停止我們 。
people , service , profit .	人們、服務、服務 。
what are the great stories of today ?	今天的偉大故事呢 ?
and i survive .	我生存了 。
we manage all sorts of things .	我們管理各種事情 。
t , e , d .	t , d 。
and we see this kind of data .	我們看到這些數據 。
i'm sick of it .	我很幸運 。
it's pretty bleak .	很棒 。
and that's my real point .	這是我的真實點 。
and this made me really sad .	這讓我很悲傷 。
but the problem persists .	但問題是堅持的 。
there's your month .	這是你的月 。
you can check them out .	你可以檢查它們 。
this is something that we can solve .	這是我們能解決的問題 。
and they didn't know that .	他們不知道 。
that's not going to work .	這並不會運作 。
it's going to be amazing .	這將會很棒 。
the problem is enormous .	問題是巨大的 。
and the results can be amazing .	結果會很棒 。
so that's it for now .	現在就這樣 。
and i believe in both of them .	我相信兩者 。
oh , she waits for me .	噢 , 她等我 。
why does this lesson even exist ?	為什麼這麼多呢 ?
you have to sell at cost .	你必須銷售 。
first , we teach them to see .	首先 , 我們教他們看看 。
i had an explosion .	我有一個爆炸 。
yet he wasn't number one .	但他不是第一位 。
" oh , jesus . "	「 噢 , 耶穌 。 」
so in fact , we all win .	事實上 , 我們都贏得了 。
" i work , " he said .	他說: 「 我工作了 。 」
we did all kinds of research .	我們做了各種研究 。
look for the tree , and down .	看看樹木 , 下降 。
there was a mother and three children .	有一個母親和三個孩子 。
i felt every deep pain in me .	我覺得每個深刻的痛苦 。
and let's play this video .	我們來玩這個影片 。
the story was , they did meet .	故事是 , 他們會遇見 。
now take it to the last step .	現在 , 最後一步 。
so he's going like this .	所以他會這樣做 。
but yet , where does it end ?	但 , 最後呢 ?
they politic with one another .	他們政治與彼此相互作用 。
so they kept on going .	所以他們繼續下去 。
there is such an opportunity right now .	現在有機會 。
so it became a cold case .	所以它變成了很冷的例子 。
now , how many things are these ?	現在 , 有多少 ?
students lack perseverance .	學生缺乏了 。
he said , " sunday . "	他說: 「 星期日 。 」
it was dreadful .	很糟糕 。
who should get the best ones ?	誰應該要最好 ?
it still outperformed them .	它仍然超越了 。
but today i have been transformed .	但今天我已經被轉變了 。
they would be really useful . "	他們會很有用 。 」
you sit there , ok .	你坐在那裡 , 好 。
real languages also change over time .	真正的語言也改變了 。
and then i get asked questions .	然後我被問問題 。
jealousy likes information .	嫉妒就像資訊一樣 。
ca: mmm .	克:嗯 。
exclamation point ?	令人興奮的時刻 ?
what would you say to them ?	你對他們說什麼 ?
we start from this one object .	我們從這個物體開始 。
who knows what this is ?	誰知道這是什麼 ?
his mother gave him to me .	他母親給他給我 。
machines have objectivity .	機器有客觀 。
another example are corals .	另一個例子是珊瑚 。
a lot of things have changed .	很多事情都改變了 。
what's going on there ?	到底在哪裡 ?
so why not this many people ?	所以為什麼不是這麼多人 ?
now who is rational ?	誰是理性的 ?
that doesn't sell .	這並不賣 。
just quickly on the results .	很快就快 。
let's make another one .	讓我們再做另一件事 。
we talk with our hands .	我們和我們的手握手 。
she was found three months later .	她發現三個月後 。
i would have that hard conversation .	我會對對話感到很困難 。
there's only one africa .	只有一個非洲 。
let me give you another example .	讓我舉另一個例子 。
i needed a better plan .	我需要更好的計畫 。
how would you feel about that ?	你會怎麼感覺呢 ?
and at first , it worked .	首先 , 它成功了 。
a: yes , you did .	艾:是的 , 是的 。
it's a beautiful idea .	這是一個美麗的點子 。
so that's the end .	這就是最後 。
it would help and bring attention .	它會幫助和關注 。
something similar is happening in life .	類似的發生在生活中 。
they tell a lot about us .	他們告訴我們很多 。
i make them all the time .	我每次都這樣做 。
it matters a great deal .	這很重要 。
it's horrible .	很糟糕 。
that's what we do .	這就是我們所做的 。
and they want to have fun .	他們想要有趣 。
this is mahler .	這是mahler
they are grownups .	他們是長大的 。
is that crazy ?	很瘋狂嗎 ?
they trust their ears .	他們相信他們的耳朵 。
and regret .	後悔 。
i don't think so .	我不這麼想 。
dt: absolutely .	dt:絕對 。
but here's the thing .	但 , 重點是 。
i feel ashamed .	我感到羞愧 。
did you even know that happened ?	你甚至知道嗎 ?
and often it does something more .	通常它會做更多的事 。
or i can say . . .	或者我可以說...
nobody said that .	沒有人說過 。
their kids can get an education .	他們的孩子可以得到教育 。
it's just a head .	它只是個頭 。
and they could keep it going .	他們可以保持它 。
it's not a country .	不是一個國家 。
it's now traveling .	現在是旅行了 。
but art is not for anything .	但藝術並不是為了任何東西 。
which would you choose ?	你選擇了什麼 ?
she was mesmerized .	她被移除了 。
we can take a grid .	我們可以用一個格子 。
but i could not understand .	但我無法理解 。
here's the idea .	這是個想法 。
how would you test it ?	你要如何測試它 ?
thank you very much .	謝謝大家
let's do it .	我們來做吧 。
i can't draw .	我不能畫畫 。
i was greedy .	我是貪婪 。
i can forgive .	我可以原諒 。
tablets .	桌子 。
thank you very much .	謝謝大家
because you care about them .	因為你關心他們 。
but they settled .	但他們設定了 。
so why does this matter ?	所以 , 為什麼呢 ?
what would this lead to ?	這會是什麼呢 ?
but how wrong it is .	但它是錯的 。
how cool is that ?	很酷嗎 ?
it's not clear .	不清楚 。
it's that simple .	很簡單 。
i agree .	我同意 。
the first question is this .	第一個問題是 ,
what are they doing there ?	他們在做什麼 ?
and it went . . .	這樣......
it is knowledge .	它是知識 。
thank you very much .	謝謝大家
miigwech .	miigwech 。
thank you very much .	謝謝大家
eo: thank you .	eo:謝謝你 。
thank you very much .	謝謝大家
he used shell companies .	他用了公司 。
sounds loud .	聽起來很大 。
it might change my behavior .	它可能會改變我的行為 。
no , they cannot .	不 , 他們不能 。
take health care for example .	舉例來說 ,
so curiosity .	好奇心 。
and what is the impact ?	是什麼影響呢 ?
spend a minute doing that .	花了一分鐘的時間 。
mt: perfect .	mt:完美 。
friends and family were next .	朋友和家人正在下一步 。
so , i did it .	所以我做了 。
why would it have one ?	為什麼會這樣呢 ?
some ? how about 30 ?	有些 ? 三十 ?
see , like this one ?	看 , 像這樣嗎 ?
never going to happen . "	永遠不會發生 。 」
that's his name .	這是他的名字 。
that’s pretty bad .	這真的很糟 。
we can all do this .	我們都能這樣做 。
what happens one year later ?	一年後會發生什麼事 ?
and it starts young .	它開始年輕 。
and the answer is yes .	答案是 。
what can i do ? "	我能做什麼 ? 」
they get the best deal .	他們會得到最佳的處理 。
okay , next question .	好 , 下一個問題 。
for quite some time .	很久以前
so we let it happen .	我們就這樣做 。
but he could do this .	但他可以這樣做 。
why should we care ?	為什麼我們要關心 ?
but they stop there .	但他們停止了 。
thank you so much .	謝謝大家
now listen to this .	現在聆聽 。
but you know what ?	但你知道嗎 ?
listen to it again .	再次聽它 。
and that was hard .	這很困難 。
you have more information .	你有更多資訊 。
check it .	看看它 。
this is my mother .	這是我的母親 。
so we did this .	我們這樣做 。
school tuition .	學校直覺 。
this is so beautiful !	這真是美麗 !
i said okay .	我說好 。
well , yeah .	嗯 , 是的 。
allan: no .	安:沒有 。
so , here goes .	所以 , 來吧 。
and this continued .	這持續了 。
but wait a minute .	但等一下 。
ca: thank you .	克:謝謝 。
but then something happened .	但後來發生了 。
clap for him .	對他來說 。
how did this happen ?	怎麼辦到呢 ?
is it actually possible ?	真的有可能嗎 ?
what happens is this .	結果是這樣 。
were you feeling that ?	你覺得嗎 ?
radio data .	無線電 。
we are almost there .	我們幾乎都在那裡 。
arabic .	阿拉伯語 。
it's children .	這是孩子 。
the model works .	模型運作 。
we thought about that .	我們想一下 。
i really do .	我真的這樣做 。
so yeah .	是的 。
of course not !	當然不是 !
wooo !	噢 !
love . . .	愛......
this is wrong .	這是錯的 。
a hundred million ?	一億 ?
was it fear ?	恐懼嗎 ?
i would know .	我知道 。
and what happens ?	什麼會發生呢 ?
is it working ?	是嗎 ?
stories are amazing .	故事很棒 。
it is beautiful .	很美麗 。
what is it ?	什麼呢 ?
there is hope .	有希望 。
audience: hi .	觀眾:嗨 。
aids .	愛滋病 。
i made this .	我這樣做 。
thank you .	謝謝
thank you .	謝謝
okay .	好吧 。
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
ty:	噢 !
the problem ?	問題呢 ?
seven billion .	七十億 。
not really .	不是真的 。
just imagine .	想像一下 。
ok ?	好嗎 ?
wow .	哇 !
come on .	來吧 。
watch this .	看看這個 。
ow !	哇 !
thank you .	謝謝
yeah .	是的 。
whoo .	噢 !
thanks .	謝謝
all right .	好 。
thank you .	謝謝
thank you !	謝謝 !
thank you .	謝謝
thank you .	謝謝
why ?	為什麼 ?
and this is my most wellknown cartoon .	這是我最好的漫畫
but we are certainly constructionists .	但我們當然是指導者 。
you can see the animal is about two minutes into this .	你可以看到動物大約兩分鐘
those have to pay tuition fees know .	需要付錢 。
it depends on us taking the third side .	它依賴我們去第三邊 。
they all have bank accounts .	他們都有銀行帳戶 。
and you think of him as nursing you .	你認為他是養育你 。
this whole adventure has been a learning experience .	這整個冒險是學習經驗 。
you just know that you have certain beliefs .	你只知道你有某些信念 。
what is a carpenter with no tools ?	什麼是沒有工具呢 ?
allowances teach kids the wrong habits .	允許教孩子錯習慣 。
we're talking about practice ? "	我們談論練習嗎 ? 」
of course , you couldn't have done that all alone .	當然 , 你無法完成這一切 。
and that can't happen in a classroom .	這不能在教室裡 。
it affects people in every part of the world .	它會影響每個世界各地的人 。
those are people that are going on an airplane .	這些都是在飛機上飛行的 。
that was the only figure he recognized .	那是他唯一認知的 。
realworld experience is critical , also .	真實的經驗是很重要的 。
and there are two key things it's got to do .	有兩件事要做 。
you know about objects and their properties .	你知道關於物品和他們的特性 。
the younger face is getting unhappy .	年輕的臉是不快樂的 。
it was like an icu unit in the water .	就像是水裡的一滴水 。
so we can actually use biomaterials now .	所以我們現在可以使用生物材料 。
in our study , they are more positive .	在我們的研究中 , 他們比較正面 。
and that's what i've been working on .	這就是我一直在工作的 。
and so this is an example of how that might work .	所以這就是一個例子
this guy is a little more contemplative .	這傢伙是比較的 。
after they sporulate , they do rot .	在他們調整之後 , 他們會做旋轉 。
now you're seeing it deploy .	現在你看到了它 。
and why is our democracy not working ?	為什麼我們的民主不在工作 ?
and i went to bed every night thinking about it .	我每天晚上睡覺 。
we have the serious meme in us .	我們有嚴肅的迷因 。
turns out ants are pretty good at this .	結果發現螞蟻很擅長 。
she wanted to add soy sauce to everything .	她想要加入所有東西 。
this was a doll called barbie , right ?	這是一支叫芭比 , 對吧 ?
but belle's story was a lie .	但貝爾的故事是謊言 。
they took serious risks to learn .	他們把嚴肅的風險學習 。
but it ain't doing both . we can .	但這兩者都無法做到 。
so why should we have a good brain theory ?	為什麼我們要有好的大腦理論呢 ?
make yourself understood to the computer . "	讓自己理解電腦 。 」
she says , " you have to be all things .	她說: 「 你必須做所有事 。
but it has always been my dream to actually teach something .	但這一直是我夢想真正教導的東西 。
i cannot wait to see this thing come to life .	我不能等待看到這東西來到生命 。
some people buy private security .	有些人買私人的安全 。
there were four different versions of this .	這裡有四種不同的版本
the truth is that we don't know enough yet .	事實是 , 我們不知道夠多 。
we pursue our individual goals .	我們追求我們的個人目標 。
i collaborate with bacteria .	我和細菌合作 。
let's choose the world that we want .	讓我們選擇我們想要的世界 。
they talked very little about politics .	他們談到政治 。
okay , so let's be generous .	好吧 , 讓我們很慷慨 。
governance is a serious issue .	治理是嚴肅的問題 。
this represents an eightyear time span .	這代表八年的時間 。
that is mindbody dualism right there .	這是心靈的義大利 。
this is one of my specimens .	這是我的靈魂之一 。
here’s a hint to get you started .	這裡有個隱藏來讓你開始 。
it's not easy , but it's simple .	這並不容易 , 但它很簡單 。
i want to say a few words about vision .	我想說幾個詞 。
who doesn't love efficiency ?	誰不喜歡效率 ?
i'm going to give you two examples quickly .	我要給各位兩個例子
here's an intriguing fact .	這是個有趣的事實 。
and we've got to share it with more people .	我們必須和更多人分享 。
that's why they look familiar .	這就是為什麼他們看起來很熟悉
or is it possible that something else is going on here ?	或者 , 可能還有其他的東西在哪裡 ?
i found out that i could laugh at myself .	我發現我自己可以笑 。
now we had another version of this experiment .	現在我們做了另一個版本 。
we've looked at our government oversight .	我們看著我們的政府 。
we're excited to have you with us .	我們很興奮和我們一起 。
but it's not like that everywhere .	但這並非如此 。
we opened the fist section in 2009 .	我們打開了2009年
ca: you've called it a hobby .	克:你稱它為 「 好 」 。
drawn just right , still not funny enough .	只是對 , 還是不夠好 。
and if they are , can't we change them ?	如果他們是 , 我們不能改變他們嗎 ?
what human limitations could we overcome ?	人類的限制是什麼 ?
these causes have been a bit invisible .	這些因素有點隱形 。
maybe not in one year . that's the beginning .	也許不是一年 , 而是開始 。
" stop it ! " " pardon me . "	" 停下來 ! "
what was the actual question ? what did you put ?	實際的問題是什麼 ? 你在哪裡 ?
we'll always be able to read dna .	我們永遠能夠讀dna 。
because evolution could now happen within an individual .	因為演化可以發生在一個體內 。
you already heard about that . you know what that means .	你已經聽過了 , 你知道那是什麼意思 。
so we were really excited about working with them .	我們真的很興奮和他們一起工作 。
but i also saw people with something else inside of them .	但我也看到其他人在他們身上 。
i've seen my people die like flies .	我看過我的人們死於蒼蠅 。
it's been used to great effect throughout history .	在歷史上 , 一直都很有效 。
and i am going to be their help along the way .	我會成為他們的幫助 。
we had a stage manager calling the shows .	我們有一個階級管理員叫做 「 秀 」 。
hundreds of tribes are waiting their turn .	數百個部落都在等他們 。
and they wait until pretty much everybody's gone .	他們等到幾乎每個人都沒了 。
fg: anyway , the siza thing .	佛:噢 , 好吧 。
i checked all of the even numbers .	我檢查了所有數字 。
are you super involved in the alumni network ?	你超越了嗎 ?
the third form of power is state action , government .	第三種力量是州政府
this gift came to me about five months ago .	這個禮物大約五個月前 。
unfortunately , the answer is yes .	不幸的是 , 答案是的 。
you have a sense of what the americans are thinking .	你有感受到美國人在想什麼 。
that is , a real language has grammar .	這是真實語言的語言 。
this is when she had her second daughter .	這是她第二次女兒 。
they teach them to work in corporations .	他們教他們在企業工作 。
she wanted to become an independent woman .	她想要成為獨立的女人 。
one is behavioral finance is extremely powerful .	一個行為財務是非常強大的 。
these videos are like crack for little kids .	這些影片就像是小孩子 。
there is things to see , there is the big challenge .	這裡有許多事情 , 看看 , 有一個巨大挑戰 。
a little while later , he'd do it again .	幾年後 , 他再次做 。
it has to be part of the explanation .	它必須是解釋的一部分 。
girl spoiled before ripened .	女孩被綁架 。
nasra doesn't stand a chance in there .	nasra無法站在那裡 。
it bombed , and i was fine .	它炸彈了 , 我很好 。
it preps you . it aims you .	它是你 , 它是你 。
and then it is 40 feet deep .	然後是40英尺深 。
contain and control — that was our job .	保持和控制 , 這是我們的工作 。
there are many metabolites in our body .	我們身體中有許多代謝 。
bj/dj: thank you very much .	bj:非常感謝 。
has he left ? is he watching the cow ?	他離開了嗎 ? 他看著牛嗎 ?
it determines the type of voice you produce .	它決定你所產生的聲音 。
it can help us understand real processes in our world .	它能幫助我們了解真實的過程 。
" give me liberty or give me death . "	「 給我自由或給我 。 」
nature is like a selfdriving car .	大自然就像是自動駕駛車 。
so , if you can imagine the full moon .	所以 , 如果你能想像一下月亮 。
i told you . they'll go there .	我告訴你們 , 他們會在那裡 。
so wanting and liking are related .	所以 , 想要和謊言是相同的 。
often , it happens without our awareness .	通常 , 沒有我們的意識 。
how do you imagine these people reacting ?	你如何想像這些人反應呢 ?
so my parents banded together with other parents .	所以我的父母和其他父母一起陪伴 。
but the reality is that we can all do something .	但事實是 , 我們都能做些什麼 。
his friends and former students became his doctors .	他的朋友和前學生成為他的醫生 。
who am i to be president ? "	我是誰 ? 」
psychologists , figure this out .	心理學家 , 思考一下 。
and i call this place the cloud .	我稱之為雲端 。
the old , sadly , we will die .	老實說 , 我們會死 。
envisage what people have never imagined .	讓人們從來沒有想像過 。
we need data , we don't need help .	我們需要資料 , 我們不需要幫助 。
why should we believe what he's saying ? "	為什麼我們相信他在說什麼 ? 」
they said , " let's march . "	他們說: 「 我們來吧 ! 」
" be good to as many people as possible . "	「 好好多人能做到的 。 」
we call these objects asteroids .	我們稱它們為小行星 。
pakistan is home to 200 million people .	巴基斯坦是2000萬人 。
and you were an advisor for .	你是一個建議 。
eventually the dust settled .	最終 , 塵土 。
js: ok . wet hands .	js:好 , 好 。
put that on the job description .	在工作描述中 。
these two sentences can stand alone .	這兩個句子可以獨立 。
is that likely , do you think , here ?	你覺得嗎 ?
now , that plastic we sell .	現在 , 我們賣的塑膠 。
ok . so most people think b is true .	好 , 大多數人認為b是真的 。
the answer is not to try to slow down technology .	答案不是要試著慢慢下來 。
there are two ways to change units .	有兩種方法可以改變單位
tell us about your article and why there .	告訴我們關於你的文章和為什麼 。
black lives matter offers answers to the why .	黑人生活很重要的答案 。
people suffer mentally and physically .	人們受苦和身體 。
i call them lessons to change the world .	我稱他們為 「 改變世界 」
at christmas , everything is possible . "	在聖誕節 , 一切都有可能 。 」
your child does not think you're that interesting .	你的孩子不會覺得你很有趣 。
the house shook as he stepped inside .	當他走進房子裡 ,
any idea , just looking at these two pictures ?	看這兩張照片嗎 ?
mom loved the process , the acting .	媽媽很喜歡這個過程 , 行為 。
your power determines your range .	你的權力決定你的範圍 。
why do some but not all young children lie ?	為什麼呢 ? 但不是所有的年輕的孩子謊言呢 ?
much more fun than we're often told .	比我們常常說的 。
in almost every case , you get the same result .	在幾乎每個情況下 , 你得到同樣的結果 。
some of them were notes saying , get out .	有些人會說 , 好吧 。
she's just turned one and started to walk .	她剛開始走路 。
because when you have children , everything is a game .	因為當你有孩子 , 一切都是遊戲 。
but now let's look at the other end .	現在讓我們看看另一端 。
what have i heard during these last four days ?	在過去四天裡 , 我聽到什麼呢 ?
i said , " no , " you can imagine .	我說: 「 不 , 你能想像 。
so what do we mean by glamour ?	那麼 , 我們的意思是什麼 ?
and i wanted this to be my career path .	我希望這成為我的職涯 。
now , we all know this . you know this .	我們都知道這一點 。
the idea for my project was thus born .	我的專案是出生 。
that determines good teams from bad .	這決定了好的團隊 。
would they not be able to see it this way ?	他們不能這樣看嗎 ?
it's incredibly painful .	非常痛苦 。
it's now a theme park .	現在是公園 。
this is basically bringing the whole thing together .	這基本上就是把整個東西放在一起 。
that's the second landmark .	這是第二個土地 。
let's go through the evidence .	我們來看看證據 。
what's the rabbi going to say ?	拉伯比要說什麼呢 ?
because they may turn out to be a majority .	因為他們可能是主要的 。
this is olympus mons .	這是奧林匹克蒙 。
and i felt very troubled .	我覺得很麻煩 。
i got plenty of takers .	我拿了很多的拿來 。
he actually had a car accident .	他真的有車禍 。
they do not allow us to find a common heart .	他們不允許我們找到共同的心 。
which ones do you need to check ?	你需要檢查嗎 ?
we talk about things in relative terms .	我們談談有關的東西 。
i grew up in south korea .	我在南韓 。
he did not touch me anymore .	他沒有接觸我 。
talk to health professionals .	和健康專業人員談談 。
and here's a video of joseph .	這是joseph的影片
could it be there is something more going on here ?	可以在哪裡呢 ?
he doesn't know what's going on .	他不知道什麼會發生 。
it's absolutely fascinating .	這絕對是非常迷人的 。
and , well , what can you do with that ?	嗯 , 你能做什麼呢 ?
it says " dreams " at the top .	它說: 「 夢想 」 。
i lost my hatred of my father .	我失去了我的父親 。
and they're not just focused on money .	他們不只關注於錢 。
you can put it louder if you can .	你可以把它放大 。
so that's an advantage .	所以這是個優勢
now we're talking scale .	現在我們正在討論規模 。
and she had a sense of humor .	她有幽默 。
anybody else ? any other questions ?	其他人嗎 ? 其他問題 ?
but thank you very much for having me !	但非常感謝大家 !
thank you very much . bye bye .	謝謝大家 。
and we're going to read to you . "	我們要讀到你 。 」
they hear " my work is important to me . "	他們聽到 「 我的工作很重要 。 」
neither was true , of course .	當然 , 不是真的 。
this is much like how we learn a new language .	這就像我們如何學習新語言 。
does that sound kind of familiar ?	這聽起來有點熟悉嗎 ?
this photo was taken two weeks ago .	這張照片是兩週前的 。
obviously it's increasing .	很顯然地 , 它正在增加 。
what causes recessions ?	什麼呢 ?
a very specific thing happened .	一件很特別的事情發生 。
we're all strands in it .	我們都在上面 。
roy bahat: yes , i am .	roybahat:是的 , 我是 。
you get something that goes much deeper than that .	你能得到更深的東西 。
yes , this is pretheinternet .	是的 , 是的 。
at first , you would've loved it .	首先 , 你會很愛它 。
so we go back to the issue of ideas .	所以我們回到關於想法的概念 。
there's no time to settle down .	沒有時間停下來 。
and working with ngos and building this case .	和非政府組織合作 , 建立這個案例 。
and the long transition is already well under way .	長久的轉變已經好了 。
you're literally in your own world .	你真的在自己的世界裡 。
yeah ? it's good ratings .	是啊 ? 好的 。
so we're now talking about the number .	所以我們現在在談的是數字 。
it wins or loses at that point .	它贏得或失敗 。
but we're not there yet , by far .	但 , 我們目前還沒有 。
my mom wouldn't really like that .	我媽媽並不喜歡這樣 。
today , i'm 6'1 " .	今天 , 我是61 。
well , we know what they're like today .	嗯 , 我們知道他們今天的狀況 。
and what's the magic with them ?	什麼是魔術呢 ?
the first is redistribution markets .	第一是紅化市場 。
it's quite spontaneous .	很有趣 。
try to understand that bees are very important .	試著了解蜜蜂是很重要的 。
but what about accidental death ?	但意外呢 ?
but he was convinced of this .	但他說服了這個 。
so it's not just radar .	這不只是雷達 。
it's going to change what money is .	它會改變錢 。
but how is sugar hiding ?	但 , 愛滋病是什麼呢 ?
you are now immortal .	你現在是不一樣的 。
management did not emanate from nature .	管理並沒有完全不用自然 。
but what is a neutron star ?	什麼是中子呢 ?
so i want to share an idea with you .	所以我想要分享一個想法
" what do you hope for , now ? "	「 你希望什麼 ? 」
it's just something we forgot .	這只是我們忘記的 。
what are you going to do with it ? "	你要做什麼 ? 」
four , modern medicine .	第四、現代醫學 。
the aliens made me say it .	外星人讓我說 。
what else was i worried about ?	我擔心什麼呢 ?
why is this person telling me this story ?	為什麼這個故事呢 ?
he certainly doesn't look like me .	他肯定不像我 。
education is often of poor quality .	教育是貧窮的品質
everyone wrote down their personal goal .	每個人都寫下自己的個人目標 。
why do i feel like a fake ?	為什麼我覺得假裝 ?
and then it will continue forward like this .	然後它會持續下去 。
i won't elaborate .	我不喜歡 。
take human skin , for example .	舉例來說 。
and how old was she when she died ?	當她死時 , 她死了什麼 ?
our children sense we're out of control .	我們的孩子覺得我們無法掌控 。
are they white , are they latino ?	他們是白色嗎 ?
and think of what that would do for you .	想想你能做什麼 。
let's just stop treating people . "	讓我們停止治療人們 。 」
i mean , it's just wonderful .	我是說 , 很棒 。
they are stories with a twist .	他們是兩個故事 。
it's the most important map of all .	它是最重要的地圖 。
that's 18 zeroes .	這是180 。
but you shouldn't worry .	但你不應該擔心 。
you are the new kid on the block .	你是新的孩子 。
and he's on a mission .	他在任務上 。
this is sian ka'an .	這是sianka
and so what you see there is the difference .	所以你看到的差異 。
we felt very proud of ourselves .	我們覺得自己很驕傲 。
and i figured , this has to stop .	我想 , 這必須停止 。
he was a middleclass guy .	他是中產階級 。
and this is ubiquitous .	這是很常見的 。
and women can be heroes , too .	女性也可以是英雄 。
but i decided not to have this treatment .	但是我決定沒有這種治療 。
it is completely arbitrary .	它完全不一樣 。
that's what the show looks like .	這就是展示的樣子 。
i'm going to tell you a story .	我要告訴各位一個故事 。
but so what we need is a plan b .	但是我們需要的是計畫 。
kid: i'm gonna try .	孩子:我要試試 。
it's a little more subtle .	這是個更小的點 。
they are commissioned .	他們被委員會 。
where's the evidence ? "	證據呢 ? 」
so that's where this comes from .	所以這就是這樣 。
so what are jobs going to be like ?	所以 , 工作會是什麼樣子 ?
i'm a visual artist .	我是一個視覺藝術家 。
if you don't know how , ask .	如果你不知道如何 , 請問 。
they all grow , and they sell together .	他們都成長 , 他們會一起 。
and sort of my dream to be involved .	我的夢想是參與的 。
also poor , racially diverse .	很貧窮 , 種族多樣性 。
she founded the hospice movement .	她發現了保健運動 。
